point	ramp_up	repeat	min_sec	max_sec	median_sec	std_dev_sec		configuration: tasks: 8, intermediate: 8192, description: large files

10000000	0	3	2.646301499	2.684484332	2.665293583	0.01909150263751715
20000000	0	3	5.656152374	5.999439291	5.950590041	0.18570841677090202
30000000	0	3	7.582102958	8.013772833	7.876752624	0.22057948088721174
40000000	0	3	9.954536333	11.370184958	10.058946333	0.7889137267213572
50000000	0	3	12.100052333	12.853329041	12.376761541	0.38103157495225043
60000000	0	3	14.734464166	16.178857291	14.885697583	0.793872898764805
70000000	0	3	18.142814375	22.041614791	20.254536833	1.9516516104483053
80000000	0	3	25.16481125	28.375571666	26.732546749	1.6055273236364913
90000000	0	3	32.789745332	36.531067416	35.876985374	1.9981810616500344
100000000	0	3	39.429554999	44.757745083	39.479405916	3.0619427124797727
110000000	0	3	44.657079708	49.487191666	44.943157708	2.7098605979015398
120000000	0	3	51.336059624	53.156617166	52.371860333	0.913159000342417
130000000	0	3	59.459098457	66.172452416	59.575482874	3.8428000609238286
140000000	0	3	63.459626916	68.665273083	65.994825249	2.603115896951288
150000000	0	3	64.292191249	72.767561625	70.817439707	4.438726280215863
160000000	0	3	71.476085083	80.366231332	75.843405791	4.445299790592612
170000000	0	3	80.797486041	83.920907749	82.964128708	1.60028798167535
180000000	0	3	84.466805749	92.722666916	89.276256624	4.146641316146125
190000000	0	3	94.270991833	95.513885708	94.691785125	0.6321526118053103
200000000	0	3	97.938620624	103.015446166	102.725905208	2.8512010696800276
