point	ramp_up	repeat	min_sec	max_sec	median_sec	std_dev_sec		configuration: tasks: 2, intermediate: 8192, description: medium files

1000000	0	3	0.346928083	0.366315416	0.352252125	0.010016571750698389
2000000	0	3	0.723572625	0.729585833	0.7251105	0.0031238954161905506
3000000	0	3	0.983856999	1.001436582	0.984072333	0.010087989975869377
4000000	0	3	1.249604499	1.267973582	1.253859499	0.009615400617341067
5000000	0	3	1.994267332	2.023707832	2.013372791	0.0149363911098719
6000000	0	3	2.516853666	2.52785225	2.520227082	0.005634595113261407
7000000	0	3	2.809651624	2.837210083	2.815337083	0.014550035712988026
8000000	0	3	3.168088833	3.261766249	3.190042833	0.04899266065297623
9000000	0	3	3.513923166	3.606761749	3.578228791	0.047554084283613816
10000000	0	3	3.928729082	4.076535249	3.964247582	0.07715433343390893
11000000	0	3	4.164746	4.273879499	4.238991124	0.05573696821066338
12000000	0	3	4.658953583	4.722274875	4.719224458	0.03571057135193251
13000000	0	3	5.032494416	5.101402916	5.047250708	0.03628266610268722
14000000	0	3	5.316031541	5.427801125	5.321807208	0.06292920450505053
15000000	0	3	5.786424708	5.869843541	5.834445541	0.04186828653666117
16000000	0	3	6.064646332	6.150881124	6.111985666	0.04318624114977011
17000000	0	3	6.254353291	6.490527166	6.308742499	0.12368100793013438
18000000	0	3	6.776485624	6.933228999	6.853314374	0.07837675008343116
19000000	0	3	7.196823374	7.255309541	7.198416791	0.033316551718953646
20000000	0	3	7.442356958	7.571156458	7.484187458	0.06570478025671597
