point	ramp_up	repeat	min_sec	max_sec	median_sec	std_dev_sec		configuration: tasks: 4, intermediate: 8192, description: large files

10000000	0	3	3.244020375	3.283888582	3.268964541	0.020142874449790286
20000000	0	3	6.108078916	6.32985375	6.205893833	0.11114397270064574
30000000	0	3	8.797323499	9.02729325	8.801690832	0.1315304850468651
40000000	0	3	11.450782416	12.043676166	11.764104041	0.29660692635167246
50000000	0	3	14.433876541	14.717212124	14.578831458	0.14168050282180109
60000000	0	3	17.213488916	18.179512249	17.875852375	0.4939864624994916
70000000	0	3	23.443352249	23.682208916	23.628264457	0.12526973343854642
80000000	0	3	27.098260833	28.277732166	27.454392916	0.6049614597230248
90000000	0	3	30.626034333	32.991883041	31.147908166	1.2429692773319492
100000000	0	3	34.397647125	35.661300124	35.26423925	0.6462014844013892
110000000	0	3	38.670625999	38.799954249	38.747192083	0.0650282087868656
120000000	0	3	42.701614416	43.2947675	43.175104749	0.3136725602917927
130000000	0	3	46.164849749	47.939530875	46.943620791	0.889551790721155
140000000	0	3	49.685601541	51.202220708	50.360847666	0.759824499785271
150000000	0	3	53.305318499	53.613964207	53.313485249	0.1758865510649547
160000000	0	3	56.982585707	58.439717624	57.679024708	0.7288020328029823
170000000	0	3	60.580401416	62.420970499	61.230188166	0.9334416545197978
180000000	0	3	64.201461833	64.830965583	64.532232582	0.3148877221975449
190000000	0	3	67.83942825	69.161387583	68.529543041	0.6611936715917619
200000000	0	3	70.7459265	72.421538791	72.055401999	0.8809520212708918
