point	ramp_up	repeat	min_sec	max_sec	median_sec	std_dev_sec		configuration: tasks: 4, intermediate: 8192, description: medium files

1000000	0	3	0.347128749	0.350564874	0.349128916	0.0017257654543843244
2000000	0	3	0.719057499	0.727080083	0.725013082	0.004165399461455168
3000000	0	3	0.976991124	0.996291291	0.995801624	0.011004325893701818
4000000	0	3	1.250312499	1.274186582	1.269287374	0.012609652119069859
5000000	0	3	1.458523041	1.4804685	1.468613124	0.010984556475410875
6000000	0	3	1.667893208	1.706263457	1.699335333	0.020448643536907292
7000000	0	3	1.890235374	1.954020166	1.916951958	0.03203208702599001
8000000	0	3	2.113960124	2.208595666	2.177237249	0.048206553279689535
9000000	0	3	2.435734374	2.563751375	2.457020333	0.06859659846035789
10000000	0	3	2.820231458	2.944007457	2.887559624	0.06196764978030532
11000000	0	3	3.03427525	3.163888791	3.107358208	0.06498268432809406
12000000	0	3	3.169529624	3.310156208	3.271538666	0.07265557483472802
13000000	0	3	3.464785291	3.515441958	3.467192541	0.0285770858234101
14000000	0	3	3.617981583	3.664438666	3.631434499	0.02390438087163046
15000000	0	3	3.766362374	3.818696541	3.781763332	0.026895217883294586
16000000	0	3	3.93522875	4.001258957	3.966168875	0.0330368315325113
17000000	0	3	4.192343083	4.313011291	4.222260082	0.0628379200616673
18000000	0	3	4.482959541	4.525377291	4.483518666	0.024330100091309224
19000000	0	3	4.790367832	4.935724958	4.797912375	0.08183104773575717
20000000	0	3	4.927633208	4.996680541	4.988750874	0.03778399773808866
